"","ageyrs_r","sex","student_r","area","educate_r","currmarr_r","sexp1yr","SEScat"
"1","19","male","no","2","1","0"," 1","0"
"2","18","male","yes","0","1","0"," 1","1"
"3","16","male","no","0","1","0","16","2"
"4","15","male","no","0","1","0","18","1"
"5","16","male","no","0","1","0","18","1"
"6","17","male","no","0","1","0"," 1","3"
"7","17","male","yes","0","1","0"," 0","0"
"8","19","male","no","0","1","0"," 2","1"
"9","17","male","no","0","1","0"," 1","1"
"10","15","male","no","0","1","0"," 1","1"
"11","17","male","yes","0","1","0"," 1","0"
"12","15","male","yes","1","1","0"," 0","2"
"13","19","male","yes","0","1","0"," 8","2"
"14","17","male","yes","0","1","0"," 0","0"
"15","17","male","yes","0","1","0"," 0","3"
"16","19","male","no","0","0","0"," 1","3"
"17","16","male","no","0","1","0","16","2"
"18","15","male","yes","0","1","0"," 9","1"
"19","15","male","no","2","0","0"," 2","0"
"20","15","male","no","0","1","0"," 1","1"
"21","15","male","yes","0","1","0"," 9","1"
"22","18","male","no","0","1","0"," 2","1"
"23","17","male","no","0","1","0"," 3","1"
"24","15","male","yes","2","1","0"," 1","1"
"25","17","male","yes","0","1","0"," 0","3"
"26","15","male","yes","0","1","0"," 0","3"
"27","15","male","yes","0","1","0"," 9","1"
"28","17","male","no","1","1","0"," 0","3"
"29","16","male","yes","0","1","0"," 0","0"
"30","16","male","no","0","1","0"," 1","0"
"31","16","male","no","0","1","0"," 1","2"
"32","16","male","no","0","1","0","18","1"
"33","16","male","yes","0","1","0"," 1","2"
"34","18","male","no","0","1","0","16","2"
"35","15","male","yes","1","1","0"," 0","3"
"36","18","male","no","0","1","1"," 1","1"
"37","18","male","no","0","1","0","13","0"
"38","16","male","yes","0","1","0"," 0","3"
"39","19","male","yes","0","1","0"," 0","2"
"40","19","male","yes","0","1","0"," 0","2"
"41","17","male","no","0","1","0","18","0"
"42","19","male","no","1","1","0"," 0","0"
"43","16","male","yes","0","1","0"," 0","1"
"44","19","male","yes","0","1","0"," 1","0"
"45","16","male","no","0","1","0","16","2"
"46","17","male","yes","0","1","0"," 0","1"
"47","15","male","yes","0","1","0"," 0","0"
"48","16","male","yes","0","1","0"," 1","1"
"49","18","male","yes","0","1","0","22","2"
"50","16","male","yes","0","1","0"," 0","1"
"51","17","male","no","0","1","0"," 1","1"
"52","15","male","no","1","1","0"," 1","2"
"53","17","male","yes","1","1","0"," 0","3"
"54","19","male","yes","0","1","0"," 1","1"
"55","15","male","no","0","1","0"," 1","2"
"56","17","male","no","1","1","0"," 1","0"
"57","18","male","no","0","1","0","16","2"
"58","15","male","yes","0","1","0"," 0","3"
"59","17","male","yes","1","1","0"," 2","3"
"60","19","male","no","1","1","0"," 2","3"
"61","18","male","yes","0","1","0","17","3"
"62","18","male","yes","0","1","0"," 4","3"
"63","17","male","no","0","1","0"," 1","1"
"64","18","male","no","0","1","1"," 1","3"
"65","16","male","yes","1","1","0"," 0","3"
"66","17","male","no","2","1","0"," 7","1"
"67","15","male","yes","1","1","0"," 0","3"
"68","19","male","no","0","1","0"," 2","0"
"69","17","male","yes","0","1","0"," 0","1"
"70","19","male","yes","0","1","0"," 1","1"
"71","17","male","no","0","1","0"," 3","0"
"72","17","male","no","0","1","0"," 1","3"
"73","16","male","no","0","1","0","18","1"
"74","17","male","no","0","1","0"," 1","0"
"75","19","male","no","0","1","0","17","3"
"76","19","male","no","0","1","1"," 3","2"
"77","15","male","yes","0","1","0"," 0","3"
"78","17","male","no","0","1","0"," 0","0"
"79","16","male","no","0","1","0"," 0","1"
"80","18","male","no","0","1","0"," 1","1"
"81","15","male","yes","0","1","0"," 0","2"
"82","17","male","yes","0","1","0"," 0","3"
"83","19","male","yes","0","1","0"," 1","2"
"84","18","male","no","0","1","0"," 0","0"
